complaint_id,customer_id,date,issue_type,resolution_time
0,411,2024-01-05,payment_failure,46
1,196,2024-03-28,login_issue,16
2,240,2024-01-08,login_issue,18
3,85,2024-03-09,login_issue,11
4,182,2024-01-05,login_issue,7
5,355,2024-02-03,card_blocked,13
6,108,2024-03-10,card_blocked,13
7,315,2024-03-28,login_issue,7
8,85,2024-02-20,payment_failure,71
9,84,2024-02-01,login_issue,8
10,413,2024-02-28,card_blocked,7
11,59,2024-02-17,payment_failure,59
12,153,2024-03-02,card_blocked,7
13,13,2024-02-25,payment_failure,58
14,410,2024-01-22,payment_failure,12
15,109,2024-03-12,card_blocked,10
16,330,2024-03-01,payment_failure,31
17,391,2024-02-27,payment_failure,42
18,414,2024-01-12,payment_failure,17
19,439,2024-01-27,payment_failure,58
20,281,2024-01-20,payment_failure,57
21,271,2024-01-13,payment_failure,64
22,386,2024-03-22,payment_failure,41
23,426,2024-03-26,card_blocked,19
24,495,2024-01-11,card_blocked,13
25,434,2024-01-05,payment_failure,39
26,339,2024-01-13,login_issue,18
27,317,2024-03-31,payment_failure,35
28,163,2024-03-28,payment_failure,67
29,138,2024-01-31,payment_failure,43
30,351,2024-02-01,card_blocked,7
31,206,2024-02-23,card_blocked,4
32,314,2024-03-22,payment_failure,39
33,379,2024-01-27,payment_failure,66
34,460,2024-02-16,payment_failure,29
35,432,2024-02-04,login_issue,10
36,0,2024-03-28,login_issue,14
37,104,2024-01-20,payment_failure,28
38,175,2024-03-30,login_issue,17
39,401,2024-02-29,payment_failure,31
40,419,2024-02-12,card_blocked,12
41,324,2024-03-10,login_issue,1
42,422,2024-03-26,payment_failure,40
43,478,2024-01-15,login_issue,17
44,477,2024-03-27,card_blocked,17
45,79,2024-03-27,payment_failure,34
46,199,2024-01-30,payment_failure,21
47,182,2024-01-10,card_blocked,14
48,121,2024-03-17,payment_failure,39
49,440,2024-03-24,payment_failure,52
50,350,2024-03-07,payment_failure,28
51,12,2024-03-06,card_blocked,16
52,194,2024-03-01,login_issue,14
53,454,2024-03-29,card_blocked,13
54,381,2024-01-18,login_issue,23
55,195,2024-02-17,payment_failure,45
56,433,2024-03-01,login_issue,2
57,404,2024-02-07,login_issue,22
58,288,2024-02-16,payment_failure,63
59,402,2024-01-17,payment_failure,61
60,295,2024-02-20,payment_failure,48
61,309,2024-01-02,login_issue,12
62,183,2024-03-08,card_blocked,7
63,463,2024-03-11,login_issue,14
64,138,2024-03-19,card_blocked,18
65,252,2024-02-24,payment_failure,61
66,322,2024-02-11,card_blocked,2
67,388,2024-02-29,card_blocked,10
68,12,2024-02-20,payment_failure,22
69,259,2024-03-03,card_blocked,10
70,418,2024-02-12,payment_failure,29
71,494,2024-01-23,card_blocked,7
72,254,2024-02-02,card_blocked,4
73,340,2024-01-16,login_issue,21
74,463,2024-03-19,login_issue,19
75,14,2024-01-10,payment_failure,36
76,429,2024-03-14,login_issue,14
77,488,2024-03-06,payment_failure,66
78,229,2024-03-03,login_issue,20
79,482,2024-02-23,login_issue,24
80,23,2024-01-07,card_blocked,13
81,424,2024-03-25,payment_failure,54
82,482,2024-02-05,card_blocked,20
83,204,2024-02-21,card_blocked,23
84,316,2024-01-30,login_issue,3
85,90,2024-02-01,payment_failure,25
86,100,2024-02-21,payment_failure,27
87,43,2024-02-05,payment_failure,17
88,294,2024-02-15,login_issue,15
89,195,2024-03-09,login_issue,9
90,303,2024-03-03,card_blocked,9
91,91,2024-01-03,payment_failure,19
92,432,2024-01-03,payment_failure,38
93,437,2024-02-07,login_issue,14
94,13,2024-03-07,card_blocked,8
95,236,2024-03-21,card_blocked,20
96,116,2024-01-03,card_blocked,5
97,388,2024-03-24,payment_failure,36
98,264,2024-03-13,login_issue,6
99,143,2024-02-01,card_blocked,8
100,170,2024-01-15,payment_failure,27
101,88,2024-01-02,payment_failure,49
102,118,2024-01-07,payment_failure,18
103,222,2024-02-04,payment_failure,58
104,149,2024-02-25,login_issue,6
105,322,2024-03-02,payment_failure,41
106,438,2024-02-26,payment_failure,24
107,244,2024-02-16,payment_failure,21
108,143,2024-02-01,login_issue,4
109,449,2024-01-14,payment_failure,48
110,155,2024-03-20,login_issue,15
111,168,2024-02-21,payment_failure,15
112,303,2024-02-26,payment_failure,63
113,233,2024-01-11,payment_failure,24
114,336,2024-02-13,payment_failure,41
115,120,2024-01-14,payment_failure,12
116,142,2024-03-02,payment_failure,36
117,257,2024-01-07,card_blocked,13
118,266,2024-01-18,login_issue,7
119,376,2024-03-29,payment_failure,37
120,89,2024-02-15,payment_failure,14
121,121,2024-01-28,card_blocked,3
122,307,2024-03-26,login_issue,22
123,226,2024-01-18,payment_failure,61
124,335,2024-01-16,login_issue,13
125,115,2024-01-10,login_issue,5
126,359,2024-02-05,login_issue,23
127,326,2024-01-30,payment_failure,33
128,377,2024-01-29,payment_failure,62
129,249,2024-03-24,payment_failure,20
130,102,2024-02-14,card_blocked,12
131,87,2024-02-15,login_issue,9
132,376,2024-02-08,payment_failure,28
133,332,2024-01-25,card_blocked,16
134,19,2024-02-21,card_blocked,12
135,398,2024-02-13,card_blocked,11
136,276,2024-01-21,card_blocked,13
137,316,2024-01-29,card_blocked,7
138,325,2024-03-08,payment_failure,53
139,33,2024-01-18,card_blocked,4
140,387,2024-02-10,card_blocked,11
141,449,2024-02-01,payment_failure,34
142,49,2024-01-22,payment_failure,43
143,78,2024-02-15,card_blocked,14
144,401,2024-03-26,payment_failure,68
145,222,2024-03-12,card_blocked,12
146,492,2024-01-24,payment_failure,65
147,205,2024-03-04,payment_failure,47
148,177,2024-02-05,payment_failure,41
149,116,2024-01-30,payment_failure,26
150,200,2024-01-24,login_issue,10
151,234,2024-01-24,login_issue,3
152,249,2024-01-19,payment_failure,55
153,311,2024-01-25,payment_failure,21
154,8,2024-02-01,payment_failure,71
155,130,2024-02-26,payment_failure,39
156,247,2024-03-23,login_issue,22
157,336,2024-02-04,payment_failure,71
158,34,2024-02-03,payment_failure,56
159,414,2024-03-16,payment_failure,32
160,18,2024-03-07,payment_failure,69
161,410,2024-03-20,payment_failure,62
162,397,2024-02-16,payment_failure,27
163,171,2024-03-08,card_blocked,17
164,325,2024-03-12,card_blocked,18
165,260,2024-02-12,card_blocked,3
166,466,2024-03-24,payment_failure,64
167,269,2024-03-26,payment_failure,39
168,320,2024-02-01,login_issue,3
169,319,2024-03-09,login_issue,10
170,250,2024-01-15,card_blocked,4
171,11,2024-02-10,payment_failure,12
172,351,2024-01-12,payment_failure,29
173,472,2024-02-10,login_issue,18
174,132,2024-02-13,card_blocked,4
175,316,2024-03-13,card_blocked,15
176,418,2024-01-20,login_issue,16
177,29,2024-03-25,card_blocked,5
178,204,2024-01-31,login_issue,7
179,15,2024-03-24,card_blocked,12
180,397,2024-03-30,card_blocked,11
181,168,2024-01-06,card_blocked,20
182,355,2024-01-08,payment_failure,35
183,195,2024-03-07,payment_failure,47
184,223,2024-03-11,login_issue,4
185,61,2024-01-05,payment_failure,72
186,424,2024-01-29,card_blocked,10
187,100,2024-01-22,payment_failure,17
188,142,2024-03-14,payment_failure,47
189,230,2024-01-20,login_issue,16
190,55,2024-03-25,payment_failure,63
191,70,2024-01-17,payment_failure,70
192,383,2024-03-16,payment_failure,14
193,136,2024-02-04,login_issue,4
194,461,2024-01-18,payment_failure,25
195,348,2024-01-22,card_blocked,19
196,142,2024-03-22,payment_failure,39
197,34,2024-03-05,card_blocked,5
198,188,2024-03-07,payment_failure,71
199,140,2024-02-26,payment_failure,34
200,75,2024-02-27,payment_failure,15
201,52,2024-03-18,payment_failure,51
202,236,2024-03-26,login_issue,23
203,412,2024-02-16,payment_failure,56
204,188,2024-01-25,payment_failure,23
205,416,2024-03-22,login_issue,18
206,47,2024-01-09,payment_failure,64
207,239,2024-03-09,payment_failure,45
208,375,2024-01-27,login_issue,10
209,248,2024-02-03,card_blocked,20
210,210,2024-01-28,payment_failure,28
211,50,2024-01-28,payment_failure,69
212,430,2024-01-09,card_blocked,5
213,387,2024-03-07,payment_failure,38
214,377,2024-03-15,card_blocked,3
215,58,2024-03-06,payment_failure,22
216,415,2024-02-04,card_blocked,16
217,215,2024-02-04,payment_failure,37
218,405,2024-01-15,card_blocked,13
219,409,2024-01-28,payment_failure,42
220,341,2024-03-24,login_issue,10
221,4,2024-03-20,payment_failure,18
222,334,2024-01-04,payment_failure,60
223,34,2024-03-07,login_issue,6
224,456,2024-03-01,login_issue,13
225,60,2024-02-25,card_blocked,21
226,172,2024-03-12,payment_failure,71
227,261,2024-02-02,card_blocked,20
228,406,2024-02-01,payment_failure,53
229,175,2024-01-04,card_blocked,7
230,338,2024-01-03,card_blocked,3
231,275,2024-01-17,payment_failure,44
232,414,2024-02-23,card_blocked,1
233,360,2024-03-15,card_blocked,6
234,207,2024-01-26,payment_failure,71
235,240,2024-02-21,login_issue,1
236,17,2024-03-12,payment_failure,43
237,50,2024-02-28,card_blocked,12
238,214,2024-02-12,payment_failure,19
239,209,2024-01-22,payment_failure,55
240,386,2024-03-30,payment_failure,70
241,258,2024-01-01,login_issue,17
242,158,2024-02-23,card_blocked,4
243,266,2024-02-15,card_blocked,23
244,487,2024-01-16,payment_failure,43
245,473,2024-01-03,payment_failure,67
246,442,2024-02-17,login_issue,19
247,66,2024-01-09,login_issue,10
248,179,2024-02-09,payment_failure,28
249,121,2024-02-26,payment_failure,21
250,331,2024-01-12,login_issue,6
251,103,2024-02-19,payment_failure,45
252,375,2024-02-03,login_issue,7
253,138,2024-02-21,login_issue,23
254,450,2024-03-05,card_blocked,23
255,30,2024-02-01,login_issue,7
256,211,2024-02-12,payment_failure,17
257,71,2024-02-17,card_blocked,14
258,268,2024-01-21,login_issue,1
259,274,2024-02-26,payment_failure,51
260,114,2024-01-18,login_issue,2
261,422,2024-02-09,payment_failure,69
262,482,2024-03-03,card_blocked,7
263,305,2024-01-09,payment_failure,68
264,277,2024-02-27,login_issue,18
265,22,2024-02-04,payment_failure,43
266,454,2024-01-15,payment_failure,24
267,223,2024-01-16,card_blocked,17
268,262,2024-03-29,card_blocked,22
269,248,2024-02-02,payment_failure,23
270,190,2024-02-29,payment_failure,19
271,465,2024-01-28,payment_failure,20
272,343,2024-01-21,login_issue,3
273,223,2024-01-29,login_issue,12
274,0,2024-03-19,login_issue,10
275,1,2024-02-14,login_issue,13
276,380,2024-01-08,card_blocked,15
277,141,2024-03-30,payment_failure,43
278,421,2024-03-22,payment_failure,65
279,386,2024-02-11,login_issue,10
280,368,2024-01-19,card_blocked,5
281,263,2024-02-16,login_issue,5
282,342,2024-02-18,login_issue,1
283,174,2024-02-26,login_issue,3
284,4,2024-01-05,card_blocked,16
285,279,2024-03-13,payment_failure,69
286,7,2024-02-01,payment_failure,18
287,286,2024-01-14,card_blocked,10
288,317,2024-02-28,card_blocked,23
289,45,2024-02-26,payment_failure,27
290,354,2024-01-07,payment_failure,51
291,365,2024-03-09,payment_failure,15
292,48,2024-03-03,payment_failure,58
293,24,2024-03-06,card_blocked,6
294,46,2024-02-19,payment_failure,71
295,92,2024-01-14,card_blocked,15
296,408,2024-03-30,payment_failure,55
297,195,2024-02-11,login_issue,15
298,141,2024-03-25,payment_failure,61
299,466,2024-02-06,login_issue,22
300,231,2024-02-11,login_issue,12
301,166,2024-03-23,login_issue,16
302,357,2024-01-20,payment_failure,14
303,369,2024-03-04,payment_failure,63
304,233,2024-01-28,payment_failure,27
305,143,2024-02-03,payment_failure,54
306,17,2024-02-04,login_issue,20
307,75,2024-01-05,login_issue,9
308,272,2024-02-08,login_issue,15
309,453,2024-01-29,login_issue,16
310,109,2024-02-29,payment_failure,15
311,96,2024-03-01,payment_failure,69
312,66,2024-01-16,payment_failure,21
313,384,2024-03-18,card_blocked,22
314,423,2024-03-23,login_issue,5
315,347,2024-01-14,payment_failure,65
316,51,2024-02-16,payment_failure,58
317,6,2024-02-20,card_blocked,22
