customer_id,join_date,region,age_group,churn
0,2023-10-16,South,50+,1
1,2023-04-24,North,18-25,1
2,2023-12-08,South,26-35,0
3,2023-02-16,East,36-50,1
4,2023-12-20,East,50+,1
5,2023-02-23,East,26-35,0
6,2023-09-08,South,36-50,0
7,2023-12-06,North,36-50,0
8,2023-04-03,West,50+,1
9,2023-05-13,West,18-25,0
10,2023-01-15,North,36-50,0
11,2023-04-20,West,18-25,1
12,2023-07-16,East,50+,0
13,2023-10-27,South,26-35,1
14,2023-05-18,West,18-25,0
15,2023-05-16,South,50+,0
16,2023-08-13,West,18-25,0
17,2023-05-20,South,18-25,0
18,2023-10-30,East,26-35,0
19,2023-04-29,East,18-25,0
20,2023-05-30,East,36-50,0
21,2023-03-07,North,18-25,0
22,2023-04-03,North,36-50,0
23,2023-06-06,North,26-35,0
24,2023-07-16,South,18-25,0
25,2023-02-11,South,26-35,0
26,2023-09-08,East,18-25,0
27,2023-08-03,North,26-35,0
28,2023-07-20,North,36-50,0
29,2023-03-25,North,26-35,0
30,2024-01-01,East,50+,0
31,2023-12-08,West,50+,0
32,2023-03-17,South,26-35,0
33,2023-11-29,South,26-35,0
34,2023-12-06,East,50+,0
35,2023-09-05,South,36-50,0
36,2023-05-18,East,26-35,0
37,2023-01-13,West,36-50,0
38,2023-12-22,North,50+,0
39,2023-10-15,North,18-25,0
40,2023-03-22,West,18-25,0
41,2023-09-07,East,18-25,0
42,2023-12-02,East,50+,0
43,2023-03-29,West,36-50,1
44,2023-07-30,West,36-50,0
45,2023-08-25,West,50+,0
46,2023-08-19,West,36-50,1
47,2023-09-28,South,26-35,0
48,2023-03-20,West,36-50,0
49,2023-09-21,North,18-25,1
50,2023-08-12,East,36-50,1
51,2023-01-12,West,36-50,0
52,2023-05-19,South,18-25,1
53,2023-04-16,West,36-50,1
54,2023-07-25,West,26-35,0
55,2023-06-13,East,36-50,1
56,2023-04-29,East,18-25,0
57,2023-02-14,West,50+,0
58,2023-02-08,North,50+,0
59,2023-06-08,West,36-50,0
60,2023-04-11,East,26-35,0
61,2023-08-26,East,36-50,0
62,2023-04-25,South,26-35,0
63,2023-09-07,West,36-50,0
64,2023-07-13,West,18-25,0
65,2023-01-03,South,26-35,0
66,2023-12-10,West,50+,0
67,2023-05-31,West,36-50,0
68,2023-12-21,South,50+,0
69,2023-07-15,North,26-35,1
70,2023-01-21,South,50+,1
71,2023-07-21,East,36-50,0
72,2023-11-09,East,36-50,0
73,2023-04-23,North,50+,0
74,2023-08-05,South,26-35,0
75,2023-11-24,West,18-25,0
76,2023-01-05,South,26-35,0
77,2023-10-04,East,50+,0
78,2023-01-23,West,36-50,0
79,2023-05-23,South,18-25,0
80,2023-01-29,West,26-35,1
81,2023-12-24,East,50+,0
82,2023-10-14,North,18-25,0
83,2023-05-27,East,50+,0
84,2023-01-26,East,18-25,1
85,2023-07-18,North,26-35,1
86,2023-08-15,West,18-25,0
87,2023-11-18,East,50+,0
88,2023-03-01,East,26-35,0
89,2023-01-14,East,18-25,0
90,2023-11-07,East,36-50,0
91,2023-06-03,North,18-25,1
92,2023-01-11,South,18-25,0
93,2023-02-14,North,36-50,0
94,2023-04-09,North,50+,0
95,2023-08-04,East,26-35,0
96,2023-10-25,North,50+,0
97,2023-09-28,South,26-35,0
98,2023-12-07,West,26-35,0
99,2023-07-13,West,36-50,0
100,2023-11-17,East,18-25,0
101,2023-06-25,South,36-50,0
102,2023-04-04,East,18-25,0
103,2023-02-25,West,50+,0
104,2023-08-25,North,18-25,0
105,2023-10-21,North,36-50,0
106,2023-02-13,South,36-50,0
107,2023-02-05,North,36-50,0
108,2023-02-16,North,36-50,0
109,2023-06-10,North,36-50,0
110,2023-11-11,East,18-25,0
111,2023-09-04,South,50+,0
112,2023-06-23,North,36-50,1
113,2023-02-14,East,26-35,0
114,2023-05-01,South,50+,0
115,2023-01-21,West,50+,0
116,2023-10-01,South,18-25,1
117,2023-06-05,North,18-25,0
118,2023-11-26,West,26-35,0
119,2023-06-18,South,36-50,0
120,2023-07-29,South,26-35,0
121,2023-09-07,North,26-35,0
122,2023-03-19,West,18-25,0
123,2024-01-01,East,18-25,0
124,2023-01-05,East,26-35,0
125,2023-05-18,East,26-35,0
126,2023-08-08,North,50+,0
127,2023-02-24,South,26-35,1
128,2023-05-19,East,18-25,1
129,2023-10-10,North,36-50,0
130,2023-09-27,West,36-50,1
131,2023-05-12,East,36-50,0
132,2023-08-28,East,36-50,0
133,2023-03-17,North,18-25,0
134,2023-09-29,South,26-35,0
135,2023-03-30,East,18-25,0
136,2023-02-05,North,50+,0
137,2023-05-07,East,50+,0
138,2023-09-28,South,50+,0
139,2023-11-01,South,26-35,0
140,2023-11-18,South,18-25,1
141,2023-11-08,South,18-25,1
142,2023-10-09,West,18-25,0
143,2023-03-06,East,50+,0
144,2023-09-18,South,50+,0
145,2023-03-01,South,36-50,0
146,2023-03-22,South,50+,0
147,2023-07-11,East,36-50,0
148,2023-01-13,West,26-35,0
149,2023-09-17,North,36-50,0
150,2023-12-20,West,18-25,1
151,2023-07-22,North,18-25,0
152,2023-08-22,West,50+,0
153,2023-08-16,West,50+,0
154,2023-03-30,North,26-35,1
155,2023-08-24,West,36-50,0
156,2023-10-13,South,36-50,0
157,2023-11-06,North,26-35,0
158,2023-04-24,West,26-35,0
159,2023-02-18,West,50+,0
160,2023-03-18,North,18-25,0
161,2023-08-12,North,26-35,0
162,2023-04-10,North,36-50,0
163,2023-03-13,East,36-50,0
164,2023-09-17,East,18-25,0
165,2023-06-10,South,50+,0
166,2023-11-02,East,18-25,1
167,2023-07-22,West,36-50,0
168,2023-12-29,South,36-50,0
169,2023-10-04,West,36-50,0
170,2023-02-01,East,36-50,0
171,2023-03-11,East,18-25,0
172,2023-06-02,North,26-35,0
173,2023-07-05,East,26-35,0
174,2023-09-28,North,18-25,0
175,2023-11-19,East,26-35,0
176,2023-02-23,South,36-50,0
177,2023-12-01,South,36-50,0
178,2023-02-16,West,26-35,1
179,2023-07-24,East,50+,1
180,2023-02-03,West,50+,0
181,2023-02-19,North,26-35,0
182,2023-10-03,South,26-35,1
183,2023-09-18,North,50+,1
184,2023-11-09,West,36-50,0
185,2023-05-07,West,18-25,0
186,2023-07-21,West,36-50,0
187,2023-07-03,East,36-50,0
188,2023-12-14,South,50+,0
189,2023-09-19,South,18-25,0
190,2023-11-07,North,18-25,0
191,2023-02-26,South,36-50,1
192,2023-03-26,North,26-35,0
193,2023-11-18,West,26-35,0
194,2023-06-02,North,26-35,0
195,2023-12-03,North,36-50,0
196,2023-05-04,North,18-25,0
197,2023-03-06,West,18-25,1
198,2023-09-28,North,36-50,1
199,2023-08-07,West,26-35,0
200,2023-03-28,West,36-50,0
201,2023-10-26,West,50+,0
202,2023-12-27,North,50+,0
203,2023-10-31,West,26-35,1
204,2023-12-12,North,26-35,0
205,2023-09-01,South,50+,0
206,2023-12-11,East,18-25,0
207,2023-01-07,West,50+,0
208,2023-08-10,East,26-35,0
209,2023-03-29,East,26-35,0
210,2023-07-28,West,36-50,1
211,2023-01-12,South,50+,0
212,2023-07-25,South,26-35,1
213,2023-04-25,South,36-50,0
214,2023-06-05,North,36-50,0
215,2023-11-05,East,36-50,0
216,2023-06-18,East,18-25,0
217,2023-08-17,South,18-25,0
218,2023-09-27,West,36-50,0
219,2023-02-26,North,18-25,0
220,2023-02-14,East,26-35,0
221,2023-01-02,South,36-50,0
222,2023-05-09,East,36-50,0
223,2023-04-20,East,36-50,0
224,2023-04-16,East,26-35,0
225,2023-07-04,South,26-35,0
226,2023-05-18,West,26-35,0
227,2023-10-27,West,50+,0
228,2023-08-15,West,36-50,1
229,2023-05-27,West,26-35,0
230,2023-01-24,North,18-25,0
231,2023-02-12,West,36-50,1
232,2023-11-02,East,26-35,0
233,2023-06-26,West,18-25,0
234,2023-07-28,West,18-25,0
235,2023-09-03,North,26-35,0
236,2023-11-20,East,50+,1
237,2023-06-23,West,50+,0
238,2023-04-03,North,50+,0
239,2023-01-24,North,18-25,0
240,2023-03-21,West,36-50,0
241,2023-12-28,North,26-35,1
242,2023-03-11,South,26-35,0
243,2023-12-07,East,18-25,0
244,2023-07-13,South,26-35,1
245,2023-06-14,South,50+,1
246,2023-05-21,West,50+,0
247,2023-12-28,East,50+,0
248,2023-03-19,North,50+,0
249,2023-02-19,North,36-50,1
250,2023-06-27,North,26-35,0
251,2023-11-02,East,18-25,0
252,2023-01-22,West,26-35,1
253,2023-05-14,South,26-35,0
254,2023-01-29,South,26-35,1
255,2023-12-17,West,36-50,0
256,2023-12-23,South,50+,1
257,2023-04-14,West,26-35,0
258,2023-07-27,South,18-25,0
259,2023-10-14,North,36-50,0
260,2023-08-03,East,18-25,0
261,2023-01-10,South,26-35,1
262,2023-12-01,West,18-25,0
263,2023-10-24,North,36-50,0
264,2023-09-16,West,18-25,0
265,2023-05-27,North,36-50,0
266,2023-06-12,West,36-50,1
267,2023-10-01,South,18-25,0
268,2023-08-01,North,36-50,0
269,2023-07-10,South,50+,0
270,2023-10-24,North,36-50,0
271,2023-04-28,North,26-35,1
272,2023-02-11,North,18-25,0
273,2023-12-26,East,26-35,1
274,2023-06-14,North,50+,0
275,2023-11-23,North,50+,0
276,2023-05-31,East,36-50,0
277,2023-05-01,West,26-35,0
278,2024-01-01,North,50+,0
279,2023-06-17,North,26-35,0
280,2023-06-04,West,50+,1
281,2023-01-19,East,26-35,0
282,2023-11-11,East,18-25,0
283,2023-01-22,South,50+,0
284,2023-08-25,West,18-25,0
285,2023-05-15,North,36-50,0
286,2023-04-10,East,26-35,0
287,2023-08-12,West,18-25,0
288,2023-12-21,North,36-50,0
289,2023-11-15,East,26-35,0
290,2023-03-05,North,36-50,0
291,2023-12-28,East,26-35,0
292,2023-05-02,East,50+,0
293,2023-11-12,South,26-35,0
294,2023-09-30,South,36-50,0
295,2023-01-17,East,26-35,0
296,2023-03-25,West,18-25,0
297,2023-10-19,South,26-35,0
298,2023-01-12,South,36-50,0
299,2023-08-17,East,26-35,0
300,2023-08-29,South,18-25,0
301,2023-12-21,North,26-35,0
302,2023-02-23,South,36-50,0
303,2023-08-27,West,36-50,0
304,2023-04-22,East,50+,0
305,2023-06-26,West,26-35,1
306,2023-06-06,North,18-25,0
307,2023-08-06,West,50+,1
308,2023-03-10,South,50+,0
309,2023-10-14,West,36-50,0
310,2023-08-18,North,36-50,0
311,2023-07-28,East,36-50,0
312,2023-10-01,East,50+,0
313,2023-12-05,East,18-25,1
314,2023-04-29,North,26-35,0
315,2023-08-12,East,18-25,1
316,2023-01-16,West,50+,1
317,2023-09-16,West,50+,1
318,2023-04-20,East,26-35,0
319,2023-12-12,West,50+,0
320,2023-09-01,North,18-25,0
321,2023-11-10,West,26-35,0
322,2023-01-11,East,18-25,0
323,2023-05-12,East,36-50,0
324,2023-03-27,East,26-35,0
325,2023-08-04,West,26-35,0
326,2023-03-11,West,50+,0
327,2023-03-05,North,36-50,0
328,2023-11-17,North,18-25,0
329,2023-12-28,North,50+,0
330,2023-11-03,East,36-50,0
331,2023-10-07,East,26-35,0
332,2023-11-06,South,50+,0
333,2023-08-15,West,36-50,0
334,2023-02-05,East,26-35,0
335,2023-11-18,South,26-35,0
336,2023-04-07,East,36-50,1
337,2023-04-08,West,50+,0
338,2023-10-29,West,36-50,0
339,2023-06-01,South,26-35,0
340,2023-04-15,North,36-50,0
341,2023-08-15,South,18-25,0
342,2023-04-05,South,18-25,0
343,2023-11-27,South,50+,0
344,2023-06-09,West,26-35,0
345,2023-06-18,East,36-50,0
346,2023-02-05,North,50+,1
347,2023-04-18,West,36-50,0
348,2023-04-08,East,26-35,0
349,2023-09-22,North,18-25,0
350,2023-05-14,East,50+,0
351,2023-10-12,East,50+,0
352,2023-12-14,East,36-50,0
353,2023-10-14,East,26-35,1
354,2023-06-19,South,50+,0
355,2023-07-16,South,36-50,0
356,2023-11-14,East,36-50,0
357,2023-02-01,South,18-25,0
358,2023-10-21,West,18-25,1
359,2023-07-25,East,36-50,0
360,2023-07-30,South,26-35,0
361,2023-05-09,West,36-50,0
362,2023-03-20,North,50+,0
363,2023-09-29,West,50+,0
364,2023-03-14,South,26-35,1
365,2023-08-03,East,18-25,1
366,2023-07-10,West,18-25,1
367,2023-11-23,North,18-25,0
368,2023-01-24,West,18-25,1
369,2023-11-29,East,26-35,0
370,2023-10-23,East,26-35,0
371,2023-07-11,South,18-25,0
372,2023-07-13,East,26-35,0
373,2023-01-24,West,50+,0
374,2023-02-20,North,26-35,0
375,2023-11-15,North,26-35,0
376,2023-05-24,North,26-35,0
377,2023-08-02,South,26-35,1
378,2023-03-06,North,26-35,0
379,2023-09-26,North,36-50,0
380,2023-10-01,West,26-35,0
381,2023-10-15,West,50+,1
382,2023-05-18,South,36-50,0
383,2023-01-25,West,36-50,1
384,2023-01-30,North,18-25,1
385,2023-07-21,East,50+,0
386,2023-09-28,West,36-50,0
387,2023-11-19,South,18-25,0
388,2023-03-30,South,36-50,1
389,2023-08-10,East,26-35,0
390,2023-06-27,East,50+,1
391,2023-09-23,North,18-25,0
392,2023-02-23,South,26-35,0
393,2023-04-08,East,36-50,0
394,2023-07-01,North,50+,0
395,2023-09-23,South,26-35,1
396,2023-04-27,East,26-35,0
397,2023-05-28,South,18-25,1
398,2023-09-12,East,50+,0
399,2023-05-05,South,18-25,0
400,2023-05-16,East,18-25,0
401,2023-09-09,East,18-25,0
402,2023-11-08,East,36-50,0
403,2023-01-23,West,36-50,0
404,2023-10-20,South,50+,0
405,2023-03-20,South,26-35,1
406,2023-06-19,East,26-35,0
407,2023-09-01,South,50+,0
408,2023-04-13,East,18-25,0
409,2023-08-11,South,18-25,0
410,2023-10-18,West,18-25,0
411,2023-02-03,South,36-50,1
412,2023-06-07,West,36-50,1
413,2023-06-11,North,18-25,0
414,2023-10-01,West,50+,1
415,2023-10-14,South,50+,0
416,2023-01-06,East,26-35,0
417,2023-12-27,North,50+,0
418,2023-10-01,North,18-25,0
419,2023-12-08,West,18-25,1
420,2023-01-02,North,26-35,0
421,2023-08-24,East,26-35,0
422,2023-05-22,North,18-25,0
423,2023-02-24,West,26-35,0
424,2023-07-18,South,18-25,1
425,2023-09-18,South,18-25,0
426,2023-08-25,North,18-25,0
427,2023-12-27,South,26-35,1
428,2023-09-09,South,18-25,0
429,2023-02-09,West,18-25,0
430,2023-09-16,South,36-50,0
431,2023-08-14,North,50+,0
432,2023-06-13,South,36-50,1
433,2023-01-31,East,50+,0
434,2023-09-13,East,18-25,0
435,2023-05-19,West,18-25,0
436,2023-03-28,East,18-25,0
437,2023-06-07,North,36-50,0
438,2023-06-26,East,26-35,0
439,2023-04-11,South,18-25,0
440,2023-05-17,West,50+,0
441,2023-06-25,East,18-25,1
442,2023-06-29,West,50+,0
443,2023-08-31,South,18-25,0
444,2023-04-20,West,26-35,0
445,2023-01-26,East,36-50,0
446,2023-05-27,West,50+,1
447,2023-08-11,South,18-25,0
448,2023-12-29,South,50+,0
449,2023-09-23,North,50+,1
450,2023-09-16,West,18-25,1
451,2023-12-13,North,50+,0
452,2023-02-15,West,36-50,0
453,2023-02-21,North,26-35,0
454,2023-08-27,North,36-50,1
455,2023-03-28,East,50+,0
456,2023-09-12,North,26-35,1
457,2023-01-29,North,36-50,0
458,2023-04-23,South,50+,0
459,2023-10-25,East,36-50,0
460,2023-08-01,North,18-25,0
461,2023-07-31,East,36-50,0
462,2023-06-10,North,26-35,0
463,2023-11-05,North,36-50,0
464,2023-07-22,North,36-50,1
465,2023-08-26,South,50+,0
466,2023-02-10,South,36-50,0
467,2023-11-30,North,26-35,0
468,2023-07-05,West,36-50,0
469,2023-03-04,East,50+,1
470,2023-12-07,West,26-35,0
471,2023-03-08,East,36-50,1
472,2023-05-02,North,36-50,0
473,2023-01-03,West,36-50,1
474,2023-12-29,East,26-35,0
475,2023-06-07,North,18-25,0
476,2023-12-03,North,36-50,0
477,2023-10-07,West,18-25,1
478,2023-11-23,North,50+,1
479,2023-01-06,West,18-25,0
480,2023-07-23,West,36-50,0
481,2023-01-05,South,18-25,0
482,2023-11-25,East,50+,0
483,2023-05-02,North,36-50,0
