transaction_id,customer_id,date,region,product,amount,status
0,359,2024-01-21,East,Credit Card,2170.88,success
1,452,2024-01-12,West,Loan,2938.09,success
2,356,2024-03-19,East,Loan,1240.632,failed
3,424,2024-03-22,South,Credit Card,1796.768,failed
4,97,2024-02-28,South,Credit Card,1339.88,failed
5,80,2024-01-28,West,Credit Card,2915.73,success
6,346,2024-01-07,North,Loan,2589.72,failed
7,27,2024-03-08,North,Credit Card,1765.41,success
8,333,2024-01-17,West,Loan,1143.43,failed
9,360,2024-03-24,South,Savings,2141.552,failed
10,27,2024-03-28,North,Savings,1554.1840000000002,success
11,380,2024-03-06,West,Credit Card,2618.91,success
12,422,2024-03-31,North,Loan,1602.096,failed
13,164,2024-03-16,East,Savings,1618.7920000000001,failed
14,301,2024-01-11,North,Savings,1774.97,success
15,127,2024-03-03,South,Credit Card,2311.42,success
16,390,2024-02-12,East,Credit Card,2060.15,success
17,182,2024-02-03,South,Loan,2257.22,success
18,126,2024-02-13,North,Loan,1232.94,success
19,290,2024-01-27,North,Credit Card,2638.84,success
20,338,2024-01-22,West,Credit Card,2775.58,success
21,185,2024-01-11,West,Savings,2057.84,success
22,166,2024-02-14,East,Credit Card,3030.37,success
23,390,2024-02-25,East,Loan,2877.67,success
24,253,2024-01-09,South,Credit Card,2322.69,success
25,122,2024-03-23,West,Savings,2147.456,success
26,181,2024-01-30,North,Credit Card,2529.21,success
27,38,2024-03-06,North,Loan,1120.63,success
28,496,2024-01-04,North,Savings,1865.3,success
29,146,2024-03-14,South,Credit Card,2358.77,success
30,318,2024-03-27,East,Savings,2251.448,failed
31,475,2024-03-11,North,Loan,1309.95,failed
32,130,2024-02-19,West,Loan,1148.31,success
33,247,2024-03-23,East,Savings,1577.784,failed
34,269,2024-03-17,South,Credit Card,773.024,success
35,471,2024-01-13,East,Credit Card,1955.44,success
36,298,2024-02-16,South,Loan,2183.3,success
37,489,2024-01-19,West,Loan,1530.06,success
38,265,2024-01-27,North,Credit Card,1968.66,success
39,382,2024-01-03,South,Loan,2477.57,success
40,431,2024-03-16,North,Loan,1387.896,success
41,400,2024-02-06,East,Loan,1603.56,success
42,341,2024-02-04,South,Credit Card,1946.48,success
43,346,2024-01-29,North,Loan,1482.38,success
44,465,2024-02-08,South,Credit Card,2982.36,success
45,116,2024-03-10,South,Savings,2017.63,success
46,12,2024-01-06,East,Savings,1650.14,success
47,354,2024-01-17,South,Savings,2106.99,failed
48,106,2024-02-28,South,Credit Card,1943.84,success
49,90,2024-01-05,East,Loan,1889.52,success
50,108,2024-01-24,North,Savings,1734.75,success
51,62,2024-02-16,South,Savings,1712.09,success
52,386,2024-01-06,West,Loan,1242.4,success
53,194,2024-02-24,North,Credit Card,2683.44,success
54,145,2024-03-13,South,Loan,2288.28,success
55,113,2024-03-31,East,Savings,1724.5040000000001,success
56,219,2024-01-06,North,Loan,1936.04,success
57,86,2024-01-11,West,Credit Card,1522.23,success
58,396,2024-01-05,East,Savings,1621.82,success
59,227,2024-02-29,West,Loan,1288.87,success
60,321,2024-01-23,West,Savings,1676.71,success
61,167,2024-01-08,West,Loan,1459.23,success
62,184,2024-03-25,West,Credit Card,2274.856,failed
63,23,2024-01-10,North,Loan,2440.82,success
64,224,2024-02-02,East,Savings,2038.68,success
65,20,2024-01-27,East,Credit Card,1569.36,success
66,164,2024-01-18,East,Savings,1481.38,success
67,172,2024-01-28,North,Credit Card,1904.83,success
68,365,2024-02-13,East,Savings,2463.09,success
69,217,2024-02-14,South,Credit Card,2954.71,failed
70,341,2024-03-20,South,Credit Card,1040.576,success
71,386,2024-01-09,West,Credit Card,2281.48,success
72,282,2024-01-29,East,Loan,1674.68,success
73,498,2024-03-26,North,Loan,1405.152,success
74,72,2024-01-04,East,Credit Card,2024.26,success
